Serial Number of system during year,Basin of origin,Date(DD-MM-YYYY),Time (UTC),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,Grade (text),Year
1,BOB,01-05-1982 00:00,300,1.5,998.2494324,25,D,1982
1,BOB,01-05-1982 00:00,600,2,997.1939113,30,DD,1982
1,BOB,01-05-1982 00:00,1200,2.5,995.3747521,35,CS,1982
1,BOB,01-05-1982 00:00,1800,2.5,995.3747521,40,CS,1982
1,BOB,02-05-1982 00:00,0,3,995.3747521,45,CS,1982
1,BOB,02-05-1982 00:00,300,3,995.3747521,45,CS,1982
1,BOB,02-05-1982 00:00,600,3.5,988.6627119,50,SCS,1982
1,BOB,02-05-1982 00:00,1200,3.5,988.6627119,55,SCS,1982
1,BOB,02-05-1982 00:00,1800,3.5,988.6627119,55,SCS,1982
1,BOB,03-05-1982 00:00,0,3.5,988.6627119,60,SCS,1982
1,BOB,03-05-1982 00:00,300,4,977.4003656,65,VSCS,1982
1,BOB,03-05-1982 00:00,600,4.5,977.4003656,80,VSCS,1982
1,BOB,03-05-1982 00:00,1200,5,977.4003656,90,VSCS,1982
1,BOB,03-05-1982 00:00,1800,5.5,977.4003656,105,VSCS,1982
1,BOB,04-05-1982 00:00,0,6,977.4003656,115,VSCS,1982
1,BOB,04-05-1982 00:00,300,6,977.4003656,115,VSCS,1982
1,BOB,04-05-1982 00:00,600,6,977.4003656,115,VSCS,1982
1,BOB,04-05-1982 00:00,1200,6,977.4003656,115,VSCS,1982
1,BOB,04-05-1982 00:00,1800,6,977.4003656,115,VSCS,1982
1,BOB,05-05-1982 00:00,300,2,997.1939113,30,DD,1982
1,BOB,05-05-1982 00:00,300,2,997.1939113,30,DD,1982
1,BOB,05-05-1982 00:00,300,2,997.1939113,30,DD,1982
2,BOB,31-05-1982 00:00,1200,1.5,990,25,D,1982
2,BOB,31-05-1982 00:00,1800,2,988,30,DD,1982
2,BOB,01-06-1982 00:00,0,2.5,986,35,CS,1982
2,BOB,01-06-1982 00:00,300,2.5,984,40,CS,1982
2,BOB,01-06-1982 00:00,600,2.5,984,40,CS,1982
2,BOB,01-06-1982 00:00,1200,2.5,984,40,CS,1982
2,BOB,01-06-1982 00:00,1800,2.5,984,40,CS,1982
2,BOB,02-06-1982 00:00,0,2.5,984,40,CS,1982
2,BOB,02-06-1982 00:00,300,3,982,45,CS,1982
2,BOB,02-06-1982 00:00,600,3.5,982,45,CS,1982
2,BOB,02-06-1982 00:00,1200,3,982,45,SCS,1982
2,BOB,02-06-1982 00:00,1800,3,979,50,SCS,1982
2,BOB,03-06-1982 00:00,0,3.5,976,55,SCS,1982
2,BOB,03-06-1982 00:00,300,4,972,65,VSCS,1982
2,BOB,03-06-1982 00:00,600,4.5,960,80,VSCS,1982
2,BOB,03-06-1982 00:00,900,5,952,90,VSCS,1982
2,BOB,03-06-1982 00:00,1200,5,952,90,VSCS,1982
2,BOB,03-06-1982 00:00,1800,5,952,90,VSCS,1982
2,BOB,04-06-1982 00:00,0,4,970,65,VSCS,1982
2,BOB,04-06-1982 00:00,300,3,982,45,CS,1982
2,BOB,04-06-1982 00:00,600,2.5,986,35,CS,1982
2,BOB,04-06-1982 00:00,1200,2,988,30,DD,1982
2,BOB,04-06-1982 00:00,1800,2,988,30,DD,1982
2,BOB,05-06-1982 00:00,0,1.5,990,25,D,1982
2,BOB,05-06-1982 00:00,300,1.5,991,20,D,1982
3,BOB,18-07-1982 00:00,1200,2,991,30,DD,1982
3,BOB,18-07-1982 00:00,1800,2,991,30,DD,1982
3,BOB,19-07-1982 00:00,0,2,991,30,DD,1982
3,BOB,19-07-1982 00:00,300,2,991,30,DD,1982
3,BOB,19-07-1982 00:00,600,2,991,30,DD,1982
3,BOB,19-07-1982 00:00,1200,1.5,991,25,D,1982
3,BOB,19-07-1982 00:00,1200,1.5,991,25,D,1982
3,BOB,19-07-1982 00:00,1200,1.5,991,25,D,1982
3,BOB,19-07-1982 00:00,1200,1.5,991,25,D,1982
5,BOB,18-08-1982 00:00,300,1.5,991,25,D,1982
5,BOB,18-08-1982 00:00,1200,1.5,991,25,D,1982
5,BOB,19-08-1982 00:00,300,1.5,991,25,D,1982
5,BOB,19-08-1982 00:00,1200,1.5,991,25,D,1982
5,BOB,19-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,27-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,27-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,28-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,28-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,29-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,29-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,30-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,30-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,31-08-1982 00:00,300,1.5,991,25,D,1982
6,BOB,31-08-1982 00:00,1200,1.5,991,25,D,1982
6,BOB,01-09-1982 00:00,300,1.5,991,20,D,1982
6,BOB,01-09-1982 00:00,1200,1.5,991,20,D,1982
6,BOB,02-09-1982 00:00,300,1.5,991,20,D,1982
6,BOB,02-09-1982 00:00,1200,1.5,991,20,D,1982
6,BOB,02-09-1982 00:00,1200,1.5,991,20,D,1982
7,BOB,09-09-1982 00:00,300,1.5,991,25,D,1982
7,BOB,09-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,09-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,09-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,10-09-1982 00:00,300,1.5,991,25,D,1982
7,BOB,10-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,10-09-1982 00:00,1200,1.5,991,25,D,1982
7,BOB,10-09-1982 00:00,1200,1.5,991,25,D,1982
8,BOB,29-09-1982 00:00,0,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,0,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,0,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,300,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,1200,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,1200,2,991,30,DD,1982
8,BOB,29-09-1982 00:00,1200,2,991,30,DD,1982
9,BOB,15-10-1982 00:00,300,2,991,30,DD,1982
9,BOB,15-10-1982 00:00,1200,2.5,991,35,CS,1982
9,BOB,15-10-1982 00:00,1800,3,991,45,CS,1982
9,BOB,16-10-1982 00:00,0,3.5,991,55,SCS,1982
9,BOB,16-10-1982 00:00,300,3,991,50,SCS,1982
9,BOB,16-10-1982 00:00,1200,2.5,991,40,CS,1982
9,BOB,16-10-1982 00:00,1800,1.5,991,25,DD,1982
10,BOB,16-10-1982 00:00,1200,1.5,990,25,D,1982
10,BOB,17-10-1982 00:00,300,2,992,30,DD,1982
10,BOB,17-10-1982 00:00,1200,2,992,30,DD,1982
10,BOB,17-10-1982 00:00,1800,2.5,994,35,CS,1982
10,BOB,18-10-1982 00:00,0,3,986,50,SCS,1982
10,BOB,18-10-1982 00:00,300,3.5,982,55,SCS,1982
10,BOB,18-10-1982 00:00,1200,3.5,982,55,SCS,1982
10,BOB,18-10-1982 00:00,1800,3,986,50,SCS,1982
10,BOB,19-10-1982 00:00,0,3,995,30,DD,1982
10,BOB,19-10-1982 00:00,300,3,996,30,DD,1982
10,BOB,19-10-1982 00:00,1200,3,997,25,D,1982
10,BOB,20-10-1982 00:00,300,3,998,20,D,1982
10,BOB,20-10-1982 00:00,1200,3,998,20,D,1982
10,BOB,21-10-1982 00:00,300,3,998,20,D,1982
10,BOB,21-10-1982 00:00,1200,3,998,20,D,1982
11,BOB,28-11-1982 00:00,300,1.5,998,25,D,1982
11,BOB,28-11-1982 00:00,1200,2,998,30,DD,1982
11,BOB,29-11-1982 00:00,300,1.5,998,25,D,1982
12,BOB,02-12-1982 00:00,1200,1.5,998,25,D,1982
12,BOB,03-12-1982 00:00,300,1.5,998,25,D,1982
12,BOB,03-12-1982 00:00,1200,1.5,998,25,D,1982
12,BOB,04-12-1982 00:00,0,1.5,998,25,D,1982
13,ARB,15-07-1982 00:00,300,1.5,998,25,D,1982
13,ARB,15-07-1982 00:00,1200,1.5,998,25,D,1982
13,ARB,16-07-1982 00:00,300,1.5,998,25,D,1982
13,ARB,16-07-1982 00:00,1200,1.5,998,25,D,1982
14,ARB,01-10-1982 00:00,300,1.5,998,25,D,1982
14,ARB,01-10-1982 00:00,1200,2,998,30,DD,1982
14,ARB,02-10-1982 00:00,300,1.5,998,25,D,1982
14,ARB,02-10-1982 00:00,1200,1.5,998,25,D,1982
15,ARB,04-11-1982 00:00,1200,1.5,999,25,D,1982
15,ARB,05-11-1982 00:00,0,2,997,30,DD,1982
15,ARB,05-11-1982 00:00,300,2.5,995,35,CS,1982
15,ARB,05-11-1982 00:00,1200,2.5,994,40,CS,1982
15,ARB,06-11-1982 00:00,0,3,992,45,CS,1982
15,ARB,06-11-1982 00:00,300,3.5,986,55,SCS,1982
15,ARB,06-11-1982 00:00,1200,3.5,982,60,SCS,1982
15,ARB,07-11-1982 00:00,300,3.5,982,60,SCS,1982
15,ARB,07-11-1982 00:00,1200,4,980,65,VSCS,1982
15,ARB,08-11-1982 00:00,300,4.5,970,80,VSCS,1982
15,ARB,08-11-1982 00:00,1200,5,962,90,SuCS,1982
15,ARB,09-11-1982 00:00,0,5,990,50,SCS,1982
15,ARB,09-11-1982 00:00,300,5,995,35,CS,1982
15,ARB,09-11-1982 00:00,1200,5,999,25,D,1982
15,ARB,10-11-1982 00:00,300,5,999,25,D,1982
16,ARB,28-11-1982 00:00,1200,1.5,999,25,D,1982
16,ARB,29-11-1982 00:00,300,2,999,30,DD,1982
16,ARB,29-11-1982 00:00,600,1.5,999,25,D,1982
16,ARB,29-11-1982 00:00,1200,1.5,999,25,D,1982
17,LAND,17-06-1982 00:00,300,1.5,999,25,D,1982
